created_at,temperature,moisture,humidity
2024-10-05T10:00:00,22.21,398,79.18
2024-10-05T10:03:00,21.0,368,79.69
2024-10-05T10:06:00,23.85,435,72.77
2024-10-05T10:09:00,23.19,410,77.37
2024-10-05T10:12:00,20.77,460,65.36
2024-10-05T10:15:00,22.55,366,66.69
2024-10-05T10:18:00,20.56,341,66.39
2024-10-05T10:21:00,21.78,363,68.89
2024-10-05T10:24:00,22.87,370,66.34
2024-10-05T10:27:00,21.55,346,69.64
2024-10-05T10:30:00,22.65,465,75.44
2024-10-05T10:33:00,20.58,450,69.02
2024-10-05T10:36:00,23.23,400,73.39
2024-10-05T10:39:00,21.9,351,75.45
2024-10-05T10:42:00,23.59,416,68.45
2024-10-05T10:45:00,21.42,402,77.38
2024-10-05T10:48:00,22.05,334,77.65
2024-10-05T10:51:00,23.72,335,73.01
2024-10-05T10:54:00,22.46,346,79.21
2024-10-05T10:57:00,21.34,343,69.17
2024-10-05T17:30:00,20.61,421,79.77
2024-10-05T17:33:00,21.48,425,72.25
2024-10-05T17:36:00,23.77,468,72.73
2024-10-05T17:39:00,23.39,322,78.82
2024-10-05T17:42:00,20.44,368,73.8
2024-10-05T17:45:00,21.85,341,66.42
2024-10-05T17:48:00,22.87,327,78.83
2024-10-05T17:51:00,21.09,448,78.36
2024-10-05T17:54:00,23.49,378,70.44
2024-10-05T17:57:00,22.64,436,74.34
2024-10-05T18:00:00,27.31,481,71.22
2024-10-05T18:03:00,26.43,398,68.26
2024-10-05T18:06:00,29.87,361,71.97
2024-10-05T18:09:00,30.32,356,65.17
2024-10-05T18:12:00,28.51,458,64.71
2024-10-05T18:15:00,31.86,423,69.14
2024-10-05T18:18:00,29.68,496,67.3
2024-10-05T18:21:00,27.78,484,72.05
2024-10-05T18:24:00,30.52,484,60.27
2024-10-05T18:27:00,28.55,405,66.18
2024-10-05T23:00:00,21.53,386,79.54
2024-10-05T23:03:00,20.38,388,73.98
2024-10-05T23:06:00,22.76,360,66.14
2024-10-05T23:09:00,23.08,409,67.91
2024-10-05T23:12:00,21.55,426,73.36
2024-10-05T23:15:00,21.84,464,69.66
2024-10-05T23:18:00,22.52,371,70.07
2024-10-05T23:21:00,22.11,345,70.86
2024-10-05T23:24:00,22.4,385,73.02
2024-10-05T23:27:00,20.71,428,79.06
2024-10-05T23:30:00,21.15,355,71.93
2024-10-05T23:33:00,21.76,409,69.46
2024-10-05T23:36:00,23.54,420,73.16
2024-10-05T23:39:00,21.06,364,74.72
2024-10-05T23:42:00,21.88,419,74.88
2024-10-05T23:45:00,22.71,406,74.25
2024-10-05T23:48:00,23.11,455,65.83
2024-10-05T23:51:00,20.45,357,78.74
2024-10-05T23:54:00,22.36,320,76.08
2024-10-05T23:57:00,22.2,383,69.51
2024-10-06T04:00:00,22.59,332,71.69
2024-10-06T04:03:00,21.76,372,72.06
2024-10-06T04:06:00,23.01,374,66.11
2024-10-06T04:09:00,20.73,403,75.4
2024-10-06T04:12:00,22.9,440,70.13
2024-10-06T04:15:00,22.76,377,77.85
2024-10-06T04:18:00,23.27,351,70.09
2024-10-06T04:21:00,23.08,364,73.06
2024-10-06T04:24:00,21.08,469,72.33
2024-10-06T04:27:00,22.46,408,70.49
2024-10-06T04:30:00,23.21,411,68.33
2024-10-06T04:33:00,20.29,411,66.41
2024-10-06T04:36:00,21.31,442,65.48
2024-10-06T04:39:00,23.92,421,74.97
2024-10-06T04:42:00,23.89,352,67.99
2024-10-06T04:45:00,22.08,360,73.86
2024-10-06T04:48:00,21.56,370,79.51
2024-10-06T04:51:00,20.14,382,70.35
2024-10-06T04:54:00,20.76,408,69.21
2024-10-06T04:57:00,20.82,447,68.51
2024-10-06T10:00:00,22.6,464,71.88
2024-10-06T10:03:00,22.89,359,73.67
2024-10-06T10:06:00,22.4,355,79.95
2024-10-06T10:09:00,23.78,420,69.8
2024-10-06T10:12:00,21.63,418,77.43
2024-10-06T10:15:00,22.25,419,67.38
2024-10-06T10:18:00,21.15,430,71.47
2024-10-06T10:21:00,23.45,398,65.35
2024-10-06T10:24:00,22.47,416,66.25
2024-10-06T10:27:00,21.27,453,73.5
2024-10-06T10:30:00,23.8,367,79.8
2024-10-06T10:33:00,20.07,355,73.62
2024-10-06T10:36:00,21.93,398,79.49
2024-10-06T10:39:00,21.56,436,69.03
2024-10-06T10:42:00,22.76,411,72.83
2024-10-06T10:45:00,22.43,455,72.45
2024-10-06T10:48:00,23.19,438,76.9
2024-10-06T10:51:00,21.35,429,65.04
2024-10-06T10:54:00,22.77,338,74.98
2024-10-06T10:57:00,22.8,340,79.01
2024-10-06T17:30:00,23.98,334,75.17
2024-10-06T17:33:00,22.11,446,79.79
2024-10-06T17:36:00,22.24,332,66.13
2024-10-06T17:39:00,23.3,440,77.86
2024-10-06T17:42:00,20.34,366,70.02
2024-10-06T17:45:00,23.19,425,78.64
2024-10-06T17:48:00,21.33,346,74.29
2024-10-06T17:51:00,22.15,449,72.62
2024-10-06T17:54:00,23.52,406,68.05
2024-10-06T17:57:00,23.78,437,74.02
2024-10-06T18:00:00,31.45,472,71.5
2024-10-06T18:03:00,29.88,434,62.45
2024-10-06T18:06:00,29.1,460,71.32
2024-10-06T18:09:00,31.98,492,72.74
2024-10-06T18:12:00,28.08,399,71.35
2024-10-06T18:15:00,30.34,472,64.84
2024-10-06T18:18:00,28.67,433,63.23
2024-10-06T18:21:00,29.37,491,68.11
2024-10-06T18:24:00,30.49,387,61.88
2024-10-06T18:27:00,31.37,488,71.79
2024-10-06T23:00:00,21.52,407,74.02
2024-10-06T23:03:00,22.2,417,65.56
2024-10-06T23:06:00,23.14,412,77.57
2024-10-06T23:09:00,23.25,389,69.56
2024-10-06T23:12:00,20.74,353,77.88
2024-10-06T23:15:00,20.83,393,72.27
2024-10-06T23:18:00,22.65,356,77.24
2024-10-06T23:21:00,20.4,329,65.09
2024-10-06T23:24:00,23.47,421,73.26
2024-10-06T23:27:00,23.62,332,70.16
2024-10-06T23:30:00,23.58,334,77.98
2024-10-06T23:33:00,21.1,349,74.41
2024-10-06T23:36:00,22.06,386,67.6
2024-10-06T23:39:00,23.72,438,79.24
2024-10-06T23:42:00,23.84,387,79.95
2024-10-06T23:45:00,23.53,432,78.28
2024-10-06T23:48:00,21.87,358,75.17
2024-10-06T23:51:00,21.05,360,72.1
2024-10-06T23:54:00,22.45,356,70.93
2024-10-06T23:57:00,23.92,426,77.6
2024-10-07T04:00:00,22.41,322,76.9
2024-10-07T04:03:00,23.06,388,73.77
2024-10-07T04:06:00,21.76,441,66.67
2024-10-07T04:09:00,20.23,451,77.5
2024-10-07T04:12:00,21.87,397,72.33
2024-10-07T04:15:00,23.87,466,76.1
2024-10-07T04:18:00,21.5,371,66.04
2024-10-07T04:21:00,23.68,383,79.27
2024-10-07T04:24:00,22.45,365,74.16
2024-10-07T04:27:00,23.58,422,72.6
